,Year,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %
Test,2011,9,202,473,9,22.4,42.7,63,2,0,15,2,72.1
Test,2012,16,689,"1,474",14,49.2,46.7,116,3,3,89,2,77.9
Test,2013,12,616,"1,127",11,56,54.7,119,3,2,73,2,70.9
Test,2014,20,847,"1,399",19,44.6,60.5,169,2,4,101,2,69.4
Test,2015,15,640,"1,184",15,42.7,54.1,147,2,2,74,1,72
Test,2016,18,"1,215","2,011",16,75.9,60.4,235,2,4,134,2,65.1
Test,2017,16,"1,059","1,389",14,75.6,76.2,243,1,5,98,6,54.2
Test,2018,24,"1,307","2,414",24,54.5,54.1,153,5,5,142,2,70.5
Test,2019,11,608,967,9,67.6,62.9,254,2,2,78,3,68.4
Test,2020,6,116,283,6,19.3,41,74,1,0,15,0,79.9
Test,2021,19,536,"1,216",19,28.2,44.1,72,4,0,60,1,77.1
Test,2022,11,265,672,10,26.5,39.4,79,1,0,33,1,79.2
Test,2023,7,311,614,7,44.4,50.7,186,0,1,30,0,68.6
,Total,184,"8,411","15,223",173,48.6,55.3,254,28,28,942,24,70
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Year,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %
ODI,2008,5,159,239,5,31.8,66.5,54,1,0,21,1,71.5
ODI,2009,8,325,385,6,54.2,84.4,107,2,1,36,3,51.7
ODI,2010,23,995,"1,169",21,47.4,85.1,118,7,3,90,4,48.3
ODI,2011,34,"1,381","1,614",29,47.6,85.6,117,8,4,127,7,46.8
ODI,2012,17,"1,026","1,094",15,68.4,93.8,183,3,5,92,7,43.6
ODI,2013,30,"1,268","1,300",24,52.8,97.5,115,7,4,138,20,48.1
ODI,2014,20,"1,054","1,058",18,58.6,99.6,139,5,4,94,20,43.6
ODI,2015,20,623,773,17,36.6,80.6,138,1,2,44,8,49
ODI,2016,10,739,739,8,92.4,100,154,4,3,62,8,40.2
ODI,2017,26,"1,460","1,473",19,76.8,99.1,131,7,6,136,22,42.8
ODI,2018,14,"1,202","1,172",9,133.6,102.6,160,3,6,123,13,41.7
ODI,2019,25,"1,377","1,429",23,59.9,96.4,123,7,5,133,8,41.8
ODI,2020,9,431,467,9,47.9,92.3,89,5,0,35,5,41.1
ODI,2021,3,129,149,3,43,86.6,66,2,0,10,1,41.6
ODI,2022,11,302,347,11,27.5,87,113,2,1,32,2,48.1
ODI,2023,9,427,368,8,53.4,116,166,1,2,39,11,37
,Total,264,"12,898","13,776",225,57.3,93.6,183,65,46,"1,212",140,45
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Year,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %
T20I,2010,1,26,21,0,-,123.8,26,0,0,3,1,42.9
T20I,2011,4,61,52,4,15.2,117.3,28,0,0,10,0,42.3
T20I,2012,13,471,355,12,39.2,132.7,78,4,0,57,7,30.7
T20I,2013,1,29,22,1,29,131.8,29,0,0,2,1,31.8
T20I,2014,7,385,288,4,96.2,133.7,77,5,0,33,11,26.7
T20I,2015,2,44,28,2,22,157.1,43,0,0,1,3,7.1
T20I,2016,13,641,457,6,106.8,140.3,90,7,0,70,9,29.1
T20I,2017,10,299,196,8,37.4,152.6,82,2,0,32,8,24.5
T20I,2018,9,211,173,7,30.1,122,61,1,0,10,8,33.5
T20I,2019,10,466,315,6,77.7,147.9,94,5,0,29,23,24.4
T20I,2020,9,295,208,8,36.9,141.8,85,1,0,18,10,20.7
T20I,2021,8,299,225,4,74.8,132.9,80,4,0,25,10,30.2
T20I,2022,20,781,565,14,55.8,138.2,122,8,1,66,26,29
,Total,107,"4,008","2,905",76,52.7,138,122,37,1,356,117,28.1
